,0001.HK,0002.HK,0003.HK,0005.HK,0006.HK,0011.HK,0012.HK,0016.HK,0017.HK,0019.HK,0027.HK,0066.HK,0083.HK,0101.HK,0151.HK,0175.HK,0267.HK,0288.HK,0386.HK,0388.HK,0688.HK,0700.HK,0762.HK,0823.HK,0836.HK,0857.HK,0883.HK,0939.HK,0941.HK,1038.HK,1044.HK,1088.HK,1093.HK,1109.HK,1113.HK,1177.HK,1299.HK,1398.HK,1928.HK,1997.HK,2003.HK,2018.HK,2313.HK,2318.HK,2319.HK,2382.HK,2388.HK,2628.HK,3328.HK,3988.HK
2011-04-30,63.844837,49.265457,7.336751,55.260426,40.901329,89.36953,23.16851,96.11689,8.198266,90.40966,17.48,22.902159,9.161366,25.041164,6.779536,2.763746,17.508274,NaN,4.046491,143.043137,12.922291,42.217422,15.709732,19.606903,11.271526,9.011783,14.187458,4.950877,53.06876,28.025764,52.201473,27.614281,3.399361,11.463397,NaN,1.005876,24.931572,4.345925,14.301807,NaN,NaN,17.181667,8.35182,35.936729,11.282366,2.114031,17.057255,24.478634,5.009731,2.763803
2011-05-31,61.465042,51.157448,7.392282,51.988571,44.575516,89.897415,22.005743,89.926033,7.270863,88.013008,16.639999,22.140095,8.344339,24.654724,6.870535,2.824517,15.551466,NaN,4.062057,133.851608,13.402716,40.342571,14.362062,19.681026,11.148471,9.286478,13.331515,4.350566,54.993904,31.644217,54.945122,26.506853,3.468607,11.727313,NaN,1.008033,24.477446,3.939328,14.90511,NaN,NaN,15.668101,8.989239,34.970665,11.871407,1.915276,16.445415,23.763929,4.607715,2.430351
2011-06-30,64.327644,53.842033,7.977642,51.651203,48.813599,88.595604,21.676607,94.132637,7.097734,84.547943,20.200001,21.217596,8.853297,22.25881,6.324533,2.870973,13.533459,NaN,4.097923,132.046127,14.061592,38.738033,14.215508,20.638514,11.148471,9.009027,12.788271,4.369503,59.233028,35.168949,53.33147,27.971516,3.256994,12.726799,NaN,0.999031,26.021473,4.071769,16.644041,NaN,NaN,15.529751,9.718554,33.012131,12.389986,1.960447,16.954786,23.227901,4.626267,2.399435
2011-07-31,59.034554,53.954208,7.659876,45.376133,45.71072,82.954414,19.943338,87.068726,6.13942,80.004829,19.48,20.936831,7.969305,22.297455,5.86953,2.081223,12.604535,NaN,4.097923,119.653992,13.290259,35.337955,15.113139,20.562773,9.664943,8.192989,11.672417,4.021614,60.340542,36.97047,52.347481,25.792377,2.502549,10.577904,NaN,0.819057,24.840746,3.515592,17.176367,NaN,NaN,14.094373,8.989239,27.136541,12.757097,1.662315,15.535824,17.474525,3.957606,2.15214
2011-08-31,46.233856,52.757706,7.367195,41.560425,45.756134,67.083374,15.555386,71.790024,4.674119,61.98642,11.62,19.030699,6.978156,18.085283,6.442833,1.625956,8.920872,NaN,4.092597,95.528107,9.095844,31.364819,14.874992,18.707203,8.7102,7.891058,9.543486,3.33279,58.889313,36.063931,49.552971,22.184305,1.748104,7.071369,NaN,0.819057,20.342337,2.622962,13.230061,NaN,NaN,14.68236,7.18291,19.330441,11.013321,1.264804,12.152144,16.795561,3.200202,1.637498
2011-09-30,53.221046,52.38435,7.470708,47.702358,45.373878,73.912231,19.125267,86.036911,5.680551,70.5186,16.139999,20.488371,8.344339,22.181522,6.630337,1.886108,11.582616,NaN,4.047631,111.68544,11.903727,34.975018,14.765079,20.335562,10.286388,8.516644,11.386961,4.042487,58.153748,33.10463,54.118931,25.863827,1.978118,9.611731,NaN,0.919694,21.984318,3.391997,16.963434,NaN,NaN,15.826681,8.54826,25.671869,11.472209,1.671349,14.083229,18.537655,3.711961,1.884793
2011-10-31,46.554798,51.405201,7.52153,39.20602,44.03598,68.288483,16.57081,73.972694,4.33031,72.115112,14.36,20.285917,6.968779,17.990953,7.176793,1.672411,11.339965,NaN,4.292444,101.857803,10.474644,27.735516,14.72844,20.865725,11.33421,7.935587,10.461676,3.659808,57.8811,33.696499,56.622208,23.327457,1.711302,9.495126,NaN,0.919694,21.482601,2.959414,15.437434,NaN,NaN,15.756574,9.413259,22.369951,12.573541,1.680383,12.80839,17.206514,3.3162,1.610763
2011-11-30,50.282448,49.748169,7.623174,40.807304,43.921307,68.098114,17.148331,77.266563,4.46882,73.010704,14.24,20.366899,8.382904,17.438602,7.058394,1.5795,11.323789,NaN,4.444778,103.356918,10.53956,29.817591,14.966587,22.158632,11.053808,8.026896,10.133348,3.771132,59.127533,35.906101,57.73476,24.077652,1.573294,10.480196,NaN,0.885205,22.121149,3.165406,15.579387,NaN,NaN,15.283349,8.938356,22.391823,8.333413,1.707486,13.798265,17.152914,3.705137,1.911528
2011-12-31,56.812702,48.192848,7.792575,44.991783,42.77454,73.973091,18.703259,87.373184,6.067885,67.169853,16.92,20.933771,9.792688,21.028902,6.548369,2.127679,12.019391,NaN,5.124817,112.101898,11.741277,36.235725,13.079734,21.887459,11.171873,9.413132,11.894372,4.320799,61.776184,34.840763,55.112316,24.363438,1.720503,11.504704,NaN,0.847109,23.626297,3.72845,18.631388,NaN,NaN,16.597858,9.379339,26.852692,9.521935,1.644246,15.37307,20.413752,4.24419,2.22566
2012-01-31,61.710297,51.987568,8.385461,48.415459,44.418236,80.254532,21.635338,97.135559,7.624119,68.688461,19.16,22.350952,10.49,23.159409,7.031072,3.205456,11.809093,NaN,4.83648,120.430397,13.202901,38.585224,12.823269,22.546021,11.260422,9.745165,13.282297,4.536491,64.541702,35.985023,55.986443,25.613762,2.024121,12.46203,NaN,0.839309,26.819042,3.906976,20.689713,NaN,NaN,17.474197,11.838659,29.673532,10.095544,2.394094,16.31045,21.619814,4.373836,2.259079
